"blog_text","header","url","user","date","popularity","like_fave","share_rtwt","id","like_fav_group","shr_rtwt_group","source","polarity","polarity_confidence","subjectivity","subjectivity_confidence"
"#aupc annual exhibition runs from   am  pm tomorrow  thurs and fri in hub central   will showcase the works of    adelaide uni photographers","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/379864429741236224","@AdelUniUnion","12:08 AM - 17 Sep 2013","[]",NA,NA,736,"None","None","twitter","neutral",0.886456199274645,"objective",0.99999998047244
"#aupc exhibition in  hubcentral  mezzanine level  from   am  pm  today  thurs and fri  features artwork from    adelaide uni photographers","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/380192499597574144","@AdelUniUnion","9:52 PM - 17 Sep 2013","[]",NA,NA,733,"None","None","twitter","neutral",0.852045533252624,"objective",0.999999999228347
"#auuaussiefilmfest first up #crocodiledundee","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/573746652101529600","@AdelUniUnion","11:27 PM - 5 Mar 2015","[]",NA,NA,362,"None","None","twitter","neutral",0.792911181504067,"objective",0.999988014933863
"#bloodyhell weve added another night to our harry potter quiz","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/634308253439016960","@AdelUniUnion","3:17 AM - 20 Aug 2015","[u'Retweet:2', u'Retweeted:2']",NA,2,80,"None","Low","twitter","neutral",0.709336659338565,"subjective",0.79492650139149
"#bluestocking week breakfast tomorrow in the eclipse function room      am  am     for students  host by the src #yum","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/499393689328689153","@AdelUniUnion","8:15 PM - 12 Aug 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,565,"None","Low","twitter","neutral",0.932576271470426,"objective",1
"#breakfastclub pyramid scheme  come enjoy free food this morning at waite hub or fix lounge then invite two friends  pic twitter com gwfjye eb","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/507314134786920448","@AdelUniUnion","4:48 PM - 3 Sep 2014","[]",NA,NA,533,"None","None","twitter","neutral",0.773404774272759,"objective",1
"#campuscritters pic twitter com hrff ywzj","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/588922422956404736","@AdelUniUnion","9:30 PM - 16 Apr 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,185,"None","Low","twitter","neutral",0.995972278532298,"objective",0.999999639413427
"#daytona or exam revision  the choice seems pretty clear  pay our #procrastination station at the hub a visit  pic twitter com pu m  w xy","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/661418614713487360","@AdelUniUnion","9:44 PM - 2 Nov 2015","[u'Retweet:1', u'Retweeted:1', u'Like:2', u'Liked:2']",2,1,53,"Low","Low","twitter","neutral",0.983594837573211,"subjective",0.999846681653476
"#djbottlerockets is smashing out the movie  tv  video game  pop culture tunes at #uaoweek  too good","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/570389190556266496","@AdelUniUnion","5:05 PM - 24 Feb 2015","[]",NA,NA,392,"None","None","twitter","positive",0.74488322204047,"objective",0.999980843771597
"#happyvalentinesday everyone  give the gift everyone wants   new university clothing  available at  generaladelaide pic twitter com scbq ljowy","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/434143385541029888","@AdelUniUnion","5:53 PM - 13 Feb 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,692,"None","Low","twitter","neutral",0.993805354597638,"objective",0.999999999999823
"#hungergames giveaway on our facebook page  check it out for a chance to win","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/402578373211213824","@AdelUniUnion","3:25 PM - 18 Nov 2013","[]",NA,NA,706,"None","None","twitter","neutral",0.908289855099755,"subjective",1
"#icecream on goodman crescent  perfect for a hot day #kerou co #uaoweek pic twitter com caoy yvj m","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/571146455886401536","@AdelUniUnion","7:15 PM - 26 Feb 2015","[]",NA,NA,374,"None","None","twitter","neutral",0.942048864977644,"objective",0.999999999960938
"#isaaclomman #adelaideuniversityunion #uaoweek #hypnotist pic twitter com px nan bez","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/438534327962312704","@AdelUniUnion","8:41 PM - 25 Feb 2014","[]",NA,NA,657,"None","None","twitter","neutral",0.995862382025449,"objective",0.999999999692044
"#jackieonassis #mainstage #uaoweek pic twitter com ej fnnoao","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/438141893528924161","@AdelUniUnion","6:42 PM - 24 Feb 2014","[]",NA,NA,669,"None","None","twitter","neutral",0.995463304997852,"objective",0.999996722280735
"#jaward winner remi is bringing his tunes to the main stage at #uaoweek see summer anthems like sangria  free  stay tuned for full  program","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/433737169966870528","@AdelUniUnion","2:59 PM - 12 Feb 2014","[]",NA,NA,694,"None","None","twitter","neutral",0.54440598064541,"objective",0.99999766562332
"#job alert  use your exam cram skills to educate the youth of today     clams an hour","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/667180964196433920","@AdelUniUnion","7:21 PM - 18 Nov 2015","[]",NA,NA,13,"None","None","twitter","neutral",0.494091009068776,"objective",0.999999992464874
"#job alert in #adelaide over december and january","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/662105745584881664","@AdelUniUnion","7:14 PM - 4 Nov 2015","[]",NA,NA,49,"None","None","twitter","neutral",0.886073697307269,"objective",0.895709247920134
"#kraken tunes from  lukemillion #atthecloisters pic twitter com waaoesrzop","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/627074088192741376","@AdelUniUnion","4:11 AM - 31 Jul 2015","[]",NA,NA,99,"None","None","twitter","neutral",0.993665536470002,"objective",0.98837381168207
"#nationalcampusbandcomp  uniofadelaide final tonight at  adelaide unibar  doors open at      pm  tonights winner heads to the state finals","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/634190709415788544","@AdelUniUnion","7:30 PM - 19 Aug 2015","[]",NA,NA,82,"None","None","twitter","neutral",0.954543828804314,"objective",1
"#nationalcampusbandcomp #safinal tomorrow night  pm at fowlers live  entry free for students     for gen admin  support our ad uni bands","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/378341730858594304","@AdelUniUnion","7:17 PM - 12 Sep 2013","[]",NA,NA,746,"None","None","twitter","neutral",0.830216500822521,"objective",0.999999999999996
"#nationcampusbandcompetition and in first place    #slickarnold who proceed to the state final  congratulations  pic twitter com   qzwxza y","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/507522648255897601","@AdelUniUnion","6:36 AM - 4 Sep 2014","[u'Retweet:2', u'Retweeted:2']",NA,2,527,"None","Low","twitter","neutral",0.986752112446641,"objective",0.999997795758475
"#oweek day    big bang  next monday is going to be full of freebies  free shows bags  diaries  bbqs  tunes and more  pic twitter com cmg  tvyxy","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/567252328932061185","@AdelUniUnion","1:21 AM - 16 Feb 2015","[u'Retweet:1', u'Retweeted:1', u'Like:2', u'Liked:2']",2,1,423,"Low","Low","twitter","neutral",0.876818419059164,"objective",0.999999999282174
"#photobooth fun times at #unibar #endofterm #halloween  pic twitter com  ibxaxlgps","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/528099506449969152","@AdelUniUnion","1:21 AM - 31 Oct 2014","[]",NA,NA,466,"None","None","twitter","neutral",0.918276277033289,"objective",0.999999964722967
"#redfest     raffle tickets    for     or   for     proceeds to the #africanaidsfoundation #sampletheworld pic twitter com b vd d jmt","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/512068180169076736","@AdelUniUnion","7:39 PM - 16 Sep 2014","[]",NA,NA,506,"None","None","twitter","neutral",0.998246186338137,"objective",1
"#roseworthy students  the union is brings you the great aussie bbq this thursday  free for member    for non members  pic twitter com mnjhw   pl","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/508814679796236288","@AdelUniUnion","8:10 PM - 7 Sep 2014","[]",NA,NA,520,"None","None","twitter","neutral",0.765238422115062,"subjective",1
"#roseworthywelcomebacklunch today from   pm     pm on tavern lawns  chicken or felafel yiros   drink only","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/365284995499163648","@AdelUniUnion","6:35 PM - 7 Aug 2013","[]",NA,NA,787,"None","None","twitter","neutral",0.954387885191443,"objective",0.999228681474923
"#sampletheworld    pm tomorrow on the barr smith lawn  proceeds from zaatar bread  drinks and raffle donated to the #africanaidsfoundation","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/511757417726500864","@AdelUniUnion","11:04 PM - 15 Sep 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,510,"None","Low","twitter","neutral",0.91731654905295,"objective",0.999999949901053
"#sampletheworld #redfest     are happening now  on the barr smith lawn  come grab some international delights  #yum pic twitter com arqqcfchhg","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/512067655436492800","@AdelUniUnion","7:36 PM - 16 Sep 2014","[u'Retweet:4', u'Retweeted:4']",NA,4,507,"None","Medium","twitter","neutral",0.995834548862382,"objective",0.999999999999998
"#showbags #uaoweek #adelaideuniversityunion #drwho #cosplay pic twitter com  nb tirk n","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/438486602726117377","@AdelUniUnion","5:32 PM - 25 Feb 2014","[u'Retweet:2', u'Retweeted:2', u'Like:1', u'Liked:1']",1,2,660,"Low","Low","twitter","neutral",0.994718183776221,"objective",0.9999999455532
"#stresslessday #pettingzoo #playdoh #manicures #hottea #massage    am     pm  tomorrow in hub central  pic twitter com sjxmsrazc","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/605637753523412993","@AdelUniUnion","12:31 AM - 2 Jun 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,146,"None","Low","twitter","neutral",0.995845143652109,"objective",0.999999999972972
"#term  #homestretch welcome back","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/650834294420566016","@AdelUniUnion","5:46 PM - 4 Oct 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,64,"None","Low","twitter","neutral",0.824747605247041,"subjective",0.936593507060249
"#thesapphires is screening tonight at napier g         pm  free entry    popcorn  for members #auuaussiefilmfest pic twitter com bs sx  ltq","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/581290071510257664","@AdelUniUnion","8:02 PM - 26 Mar 2015","[u'Retweet:2', u'Retweeted:2', u'Like:2', u'Liked:2']",2,2,256,"Low","Low","twitter","neutral",0.995055489725851,"objective",1
"#uaopennight is on this week feat  #pekingduk  #allday  #safia  #flamingo and more  want to volunteer at the event","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/541760338765422592","@AdelUniUnion","5:05 PM - 7 Dec 2014","[]",NA,NA,448,"None","None","twitter","neutral",0.646122881715576,"objective",0.909226778560012
"#uaoweek announcement  get ready to stomp your feet like a brontosaurus because we have  tkaymaidza playing main stage  only   weeks away","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/433023444393795584","@AdelUniUnion","3:43 PM - 10 Feb 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,696,"None","Low","twitter","neutral",0.529779163863456,"subjective",1
"#uaoweek day    on the green come to our vintage picnic on goodman crescent or visit your student reps in the hub  pic twitter com r d kt ft","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/568619924974751744","@AdelUniUnion","7:55 PM - 19 Feb 2015","[]",NA,NA,416,"None","None","twitter","neutral",0.995796346930529,"objective",0.983755700091549
"#uaoweek day    pop  cosplay  wrestling  a delorian and more  adelaide unis very own pop culture festival  pic twitter com  dogv knnd","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/567972862390198273","@AdelUniUnion","1:04 AM - 18 Feb 2015","[]",NA,NA,420,"None","None","twitter","neutral",0.964469572086264,"objective",1
"#uaoweek day three pop is rocketing up    miles per hour  come enjoy the pop culture dress ups  activities   tunes  pic twitter com eyfk ssa k","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/570392504635248640","@AdelUniUnion","5:19 PM - 24 Feb 2015","[]",NA,NA,390,"None","None","twitter","neutral",0.868792121857641,"objective",0.999998972911129
"#uaoweek day two is even bigger  enjoy craft   tunes into the evening  inc   thelmaplum  jesse davidson   more  pic twitter com bp pgtxijr","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/567615574230827008","@AdelUniUnion","1:24 AM - 17 Feb 2015","[u'Retweet:2', u'Retweeted:2']",NA,2,421,"None","Low","twitter","neutral",0.629577108815379,"objective",0.999999999999967
"#uaoweek entertainment for mon    feb just announced   feat #baddreems   #theskeletonclub   stay tuned for more","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/432751876707065856","@AdelUniUnion","9:44 PM - 9 Feb 2014","[]",NA,NA,697,"None","None","twitter","neutral",0.651929362986483,"objective",0.999994485352226
"#uaoweek has kicked off   here is your checklist   pic twitter com fgqsegupfe","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/437732265653592065","@AdelUniUnion","3:34 PM - 23 Feb 2014","[]",NA,NA,684,"None","None","twitter","neutral",0.978960165354826,"objective",0.999990841161901
"#uavotes  #studentelections for info on where to vote   whos running visit","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/638923510702694400","@AdelUniUnion","8:56 PM - 1 Sep 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,77,"None","Low","twitter","neutral",0.928430633994051,"objective",0.999385198469106
"#uavotes any serious election complaints  concerns  beef or issues must be submitted by   pm thurs    sept to electiontribunal auu org au","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/512049173470797824","@AdelUniUnion","6:23 PM - 16 Sep 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,509,"None","Low","twitter","negative",0.524279604498956,"objective",0.999660795962527
"#volunteer expo winners have been drawn  thanks  gaganiscompany for providing some truly mouth watering food bundles  pic twitter com cwuezfr ju","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/500184464626970626","@AdelUniUnion","12:37 AM - 15 Aug 2014","[u'Retweet:1', u'Retweeted:1', u'Like:1', u'Liked:1']",1,1,558,"Low","Low","twitter","neutral",0.829128636215763,"objective",0.999881721837905
"#waite chillngrill today on the mcleod lawns      am     pm  free for members   kebabs  corn on the cob  coleslaw  soft drink   music","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/469275083622469633","@AdelUniUnion","5:34 PM - 21 May 2014","[]",NA,NA,618,"None","None","twitter","neutral",0.86939635595484,"objective",1
"#waite students  hope youre massage  fairy floss eating  animal cuddling ready  were holding #stresslessauu day today  come say hi","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/656261249676611584","@AdelUniUnion","5:10 PM - 19 Oct 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,62,"None","Low","twitter","positive",0.718710485191383,"subjective",1
"#waite students come get a free breakfast   have a free massage  this thursday           am  student kitchen  waite hub  see you there","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/506350801644568576","@AdelUniUnion","1:00 AM - 1 Sep 2014","[u'Retweet:2', u'Retweeted:2']",NA,2,537,"None","Low","twitter","positive",0.768249420002474,"subjective",1
"#waite students lunch today   mcleod lawns     pm       pm  free chicken or felafel yiros and drink for #unionmembers     for non members","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/380849188046901250","@AdelUniUnion","5:21 PM - 19 Sep 2013","[]",NA,NA,726,"None","None","twitter","neutral",0.900428796531153,"objective",1
"#waitecampus what a beautiful day it was  pic twitter com j bo  g lb","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/497296336471867392","@AdelUniUnion","1:21 AM - 7 Aug 2014","[]",NA,NA,571,"None","None","twitter","neutral",0.821725981449669,"subjective",1
"#worldweek   today we celebrate asia  origami making from      am   pm in hub central pop up shop  then oz asia moonlantern festival  pm","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/380485913836793856","@AdelUniUnion","5:18 PM - 18 Sep 2013","[]",NA,NA,731,"None","None","twitter","neutral",0.90594622187093,"subjective",1
"#worldweek #europe today      tasting platters   the cloisters        am  pm  win a dbl pass to #runnerrunner","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/380150102499004416","@AdelUniUnion","7:03 PM - 17 Sep 2013","[]",NA,NA,735,"None","None","twitter","neutral",0.860693447872561,"objective",1
"#worldweek #europe tomorrow          pm  european tasting platters in the cloisters   #runnerrunner ticket giveaway","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/379825364878774272","@AdelUniUnion","9:33 PM - 16 Sep 2013","[]",NA,NA,737,"None","None","twitter","neutral",0.93675538258262,"objective",1
"#worldweek begins  celebrating the americas  walter young gdns          foosball  candy  latin dj beats  plus win   of   foosball tables","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/379395633993768960","@AdelUniUnion","5:05 PM - 15 Sep 2013","[]",NA,NA,742,"None","None","twitter","positive",0.698854762612282,"objective",1
"#worldweek celebrating #africa today at pfitzner court from midday with afrobeats  african drummers   dancers   free candy","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/379790960202629120","@AdelUniUnion","7:16 PM - 16 Sep 2013","[u'Retweet:2', u'Retweeted:2']",NA,2,738,"None","Low","twitter","neutral",0.808695890501105,"objective",0.999999992491562
"#worldweek friday is australia on barr smith lawns   am    pm  listen to didgeridoo  play lawn bowls   enjoy an aussie bbq   anzac biscuits","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/378351257540624384","@AdelUniUnion","7:55 PM - 12 Sep 2013","[u'Retweet:1', u'Retweeted:1']",NA,1,743,"None","Low","twitter","neutral",0.823345330317871,"objective",0.999999999999997
"#worldweek next week  thursday we celebrate asia   origami in hub central        then at  pm   ozasia moon lantern festival in elder park","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/378349779405012992","@AdelUniUnion","7:49 PM - 12 Sep 2013","[]",NA,NA,744,"None","None","twitter","neutral",0.788488843239508,"subjective",1
"#worldweek thursday origami      am   pm in hub central  at  pm ozasia moon lantern festival in elder park  free picnic dinner #asia","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/380194199683215360","@AdelUniUnion","9:58 PM - 17 Sep 2013","[]",NA,NA,732,"None","None","twitter","neutral",0.748073899169832,"objective",0.99999999998779
"~ dianne janes addiction #adelunibands","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/583529846480830465","@AdelUniUnion","12:22 AM - 2 Apr 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,222,"None","Low","twitter","neutral",0.718943145404581,"objective",0.999996737480894
"a crowd is gathered presently by the torrens footbridge to commemorate the death of dr george duncan  pic twitter com kewbjhhwm","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/597607667796836353","@AdelUniUnion","8:42 PM - 10 May 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,171,"None","Low","twitter","neutral",0.997838979751463,"objective",0.993747103654075
"a feast for your eye holes  the unions #sala student #art exhibition launches tomorrow in  uahubcentral  pic twitter com kzuilgsqgd","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/501639729159229440","@AdelUniUnion","1:00 AM - 19 Aug 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,553,"None","Low","twitter","neutral",0.989760916343133,"objective",0.999427828479838
"a few spots left in the apply first aid course   thursday   th aug  cost is      which is     off normal course fee","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/364911394434465795","@AdelUniUnion","5:50 PM - 6 Aug 2013","[]",NA,NA,790,"None","None","twitter","neutral",0.812186297715488,"objective",0.999999999999918
"a local app developer is seeking a android programmer  do you have the skillz to pay the billz  details here","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/544645591045644288","@AdelUniUnion","4:10 PM - 15 Dec 2014","[u'Retweet:1', u'Retweeted:1', u'Like:1', u'Liked:1']",1,1,442,"Low","Low","twitter","neutral",0.629009425408687,"subjective",1
"a new   easier to complete form has been uploaded for       austudentradio applicants  click  to grab a copy","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/521888389486747648","@AdelUniUnion","10:01 PM - 13 Oct 2014","[u'Retweet:1', u'Retweeted:1', u'Like:1', u'Liked:1']",1,1,492,"Low","Low","twitter","neutral",0.706555029770171,"objective",0.999990662624952
"a peek of the transformed cloisters  get tix at  or at the door from       #atthecloisters pic twitter com  ndj cl eh","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/626978276146176000","@AdelUniUnion","9:50 PM - 30 Jul 2015","[u'Retweet:1', u'Retweeted:1', u'Like:1', u'Liked:1']",1,1,109,"Low","Low","twitter","neutral",0.997050693865747,"subjective",1
"a queue has formed at re oday but there are plenty of delicious free burgers to go around  dont miss out","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/493945375128944640","@AdelUniUnion","7:25 PM - 28 Jul 2014","[u'Retweet:2', u'Retweeted:2']",NA,2,594,"None","Low","twitter","positive",0.605051390056577,"subjective",0.999999999994303
"a quiz  a quiz night  a quiz night for uni clubs  a quiz night for uni clubs at halloween  what could be better  pic twitter com jrk s mqhs","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/525171219356598272","@AdelUniUnion","11:25 PM - 22 Oct 2014","[u'Retweet:2', u'Retweeted:2', u'Like:1', u'Liked:1']",1,2,482,"Low","Low","twitter","neutral",0.967172644614287,"objective",0.999999998007864
"adelaide metro welcomes you back to uni     and back to our trains  trams and buses   pic twitter com njgkehspyi","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/572207954172067841","@AdelUniUnion","5:33 PM - 1 Mar 2015","[]",NA,NA,372,"None","None","twitter","neutral",0.994852166448044,"subjective",1
"adelaide uni band comp final this friday at the unibar  pm    bands battle it out for a place in the state final   free entry  great music","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/372621304567840768","@AdelUniUnion","12:26 AM - 28 Aug 2013","[u'Retweet:1', u'Retweeted:1']",NA,1,774,"None","Low","twitter","positive",0.606086043472703,"subjective",1
